Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
CKRE2082,Conure,Sun conure,nA,C11,Macaw Aviary,Semi Adult,
CKRE2084,Conure,Sun conure,nA,C11,Macaw Aviary,Semi Adult,
CKRE2129,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRE2069,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRE2141,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRF675,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRE2061,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRF673,Conure,Sun conure,na,C11,Macaw Aviary,Semi Adult,
CKRE2060,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2145,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE 2066,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2142,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2128,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2118,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2127,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2067,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2136,Conure,Sun & Jandaya,na,C12,Macaw Aviary,Semi Adult,
CKRE1881,Conure,Sun conure,na,C12,Macaw Aviary,Semi Adult,
CKRE2062,Conure,Sun conure,na,C13,Macaw Aviary,Semi Adult,
CKRE2068,Conure,Sun conure,na,C13,Macaw Aviary,Semi Adult,
CKRE2063,Conure,Sun conure,na,C13,Macaw Aviary,Semi Adult,
CKRF 927,Conure,Sun Conure,Female,C13,Macaw Aviary,Semi Adult,
CKRF 060,Conure,Sun Conure,Female,C13,Macaw Aviary,Semi Adult,
CKR F 656,Lorykeet,Swainson Lory,,C16,Macaw Aviary,Semi Adult,
CKR F 659,Lorykeet,Swainson Lory,,C16,Macaw Aviary,Semi Adult,
CKR F 661,Lorykeet,Swainson Lory,,C16,Macaw Aviary,Semi Adult,
CKR F 658,Lorykeet,Swainson Lory,,C16,Macaw Aviary,Semi Adult,
CKR E 2052,Lorykeet,Red collar lorikeet,,C16,Macaw Aviary,Semi Adult,
ACE IND 070,Lorikeet,Green Napped Lorikeet,Female,C17,Lory Aviary,Semi Adult,
CKRD 609,Lory,Chattering Lory,Female,C18,Lory Aviary,Semi Adult,
