Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Monk,Macaw,M12(NB-3),Monk-Blue,,,6620,16-04-2022,Infertile,,,,,,,,,,,,5.24
Monk,Macaw,M12(NB-9),Monk-Blue,,,6621,16-04-2022,Infertile,,,,,,,,,,,,5.66
Monk,Macaw,M12(NB-9),Monk-Blue,,,6622,16-04-2022,DIS,23-04-2022,,,,,,,,,Late,06-05-2022,5.73
Monk,Macaw,M12(NB-10),Monk-Lutino,,,6623,16-04-2022,Fertile,23-04-2022,,5.5,07-05-2022,,,,,,,,7.61
Monk,Macaw,M12(NB-10),Monk-Lutino,,,6624,16-04-2022,Fertile,23-04-2022,,6.18,06-05-2022,4.88,07-05-2022,0.83,Normal,0.2,,,6.24
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6616,18-04-2022,Fertile,25-04-2022,,,,,,,,,,,8.4
Lory,Lory,D17,Violet necked Lory,CHIRP027,JP371,6625,18-04-2022,Fertile,25-04-2022,,,,,,,,,,,6.65
Lory,Lory,D29,redlory ,YUV111,ABW5159,6626,18-04-2022,Fertile,25-04-2022,,,,,,,,,,,9.39
Lorikeet,Lory,D39,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6627,18-04-2022,Infertile,,,,,,,,,,,,7.82
Lorikeet,Lory,D45,Swainson Lorikeet + Green Napped Lorikeet,CKRC197,YUV293,6628,18-04-2022,Infertile,,,,,,,,,,,,6.7
Lory,Lory,E02,Duyvenbode Lory,395,392,6629,18-04-2022,DIS,23-04-2022,,,,,,,,,Early,25-04-2022,9.04
Lory,Lory,E27,redlory ,ABW4849,ABW5154,6630,18-04-2022,Fertile,25-04-2022,,,,,,,,,,,8.43
Lory,Lory,F42,Violet necked Lory,CKRD1578,CKRE526,6631,18-04-2022,Infertile,,,,,,,,,,,,7.43
Lory,Lory,D01,Yellow bibbed Lory,CKRC407,CKRC422,6632,21-04-2022,Infertile,,,,,,,,,,,,6.72
Lory,Lory,E02,Duyvenbode Lory,395,392,6633,21-04-2022,DIS,,,,,,,,,,Mid,03-05-2022,9.79
Lory,Lory,E19,Black Capped & chattering Lory,SUNIL692,JP514,6634,21-04-2022,Fertile,,,,,,,,,,,,10.71
Lory,Lory,E27,redlory ,ABW4849,ABW5154,6635,21-04-2022,Fertile,,,,,,,,,,,,8.15
Lorikeet,Lory,E31,Olive Swainson Lorikeet + Swainson Lorikeet,CKRC230,CKRC266,6636,21-04-2022,Fertile,,,,,,,,,,,,7.2
Lorikeet,Lory,F25,Olive Swainson Lorikeet,7L6689,CKRD579,6637,21-04-2022,Fertile,,,,,,,,,,,,7.85
