Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1334,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1966,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1957,Male,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1258,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1609,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1134,,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1586,Female,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1581,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1551,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1301,NA,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRF 118,Female,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1324,,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1951,NA,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1076,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRF 200,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 1273,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 1314,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 810,Female,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 105,Female,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 125,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 1327,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 111,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,No Ring,,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 194,,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 2036,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 195,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 158,Male,Semi Adult,
